AVERAGE     ERRORE: 
-196.384           0
-196.408    0.024053
-196.413   0.0148656
-196.41   0.0110053
-196.409  0.00862699
-196.402  0.00986792
-196.402  0.00834941
-196.402  0.00726885
-196.402  0.00645175
-196.404  0.00631165
-196.405   0.0057937
-196.404   0.0053473
-196.405  0.00497421
-196.405  0.00460528
-196.407  0.00466028
-196.405   0.0049041
-196.405  0.00463167
-196.406  0.00443237
-196.405  0.00435383
-196.404    0.004289
-196.404  0.00408018
-196.403   0.0038905
-196.406  0.00427428
-196.406  0.00409904
-196.407  0.00400957
-196.406  0.00386087
-196.407  0.00375359
-196.407  0.00362055
-196.407  0.00353198
-196.407    0.003413
-196.407  0.00336137
-196.407  0.00325885
-196.408  0.00318725
-196.408   0.0030949
-196.408  0.00309418
-196.409  0.00311792
-196.41  0.00305477
-196.41   0.0029733
-196.409   0.0029257
-196.41   0.0029331
-196.41   0.0028711
-196.41  0.00282084
-196.41  0.00275629
-196.41  0.00269497
-196.41  0.00266325
-196.409  0.00261782
-196.409  0.00260952
-196.409  0.00259561
-196.409  0.00254701
-196.41  0.00252292
-196.409  0.00253941
-196.409  0.00249011
-196.409  0.00245655
-196.409   0.0024161
-196.409  0.00239221
-196.409  0.00239788
-196.409  0.00237691
-196.408  0.00234573
-196.408  0.00232081
-196.408  0.00229293
-196.408  0.00226292
-196.408  0.00222776
-196.408  0.00219856
-196.408  0.00216818
-196.408  0.00213943
-196.408  0.00210853
-196.408  0.00208175
-196.408  0.00206725
-196.408  0.00205092
-196.407  0.00204569
-196.408  0.00203016
-196.408  0.00200213
-196.408  0.00198193
-196.408    0.001972
-196.408  0.00194757
-196.408  0.00192278
-196.408  0.00190058
-196.407  0.00189963
-196.407  0.00191007
-196.407  0.00190376
-196.407  0.00188174
-196.407  0.00186432
-196.407  0.00188798
-196.407  0.00186626
-196.407  0.00184425
-196.408  0.00183588
-196.407  0.00181935
-196.408   0.0017986
-196.407  0.00177942
-196.408   0.0017696
-196.408  0.00175006
-196.408  0.00173155
-196.407  0.00172584
-196.407  0.00178028
-196.407  0.00176467
-196.407  0.00174695
-196.406  0.00176291
-196.406  0.00179791
-196.406   0.0017797
-196.406  0.00176206
