TEMP:             MU:          SIGMA: 
2        0.228259        0.984232
1.98         0.61088         1.69089
1.9602        0.942089         1.19603
1.9406       0.0434935         1.49677
1.92119       0.0434935         1.49677
1.90198        0.991341         1.00268
1.88296        0.901766         1.17872
1.86413        0.970972        0.931616
1.84549        0.239596          1.0749
1.82703        0.410235        0.468417
1.80876        0.402397         1.15021
1.79068        0.324008         1.52442
1.77277        0.128574         1.54155
1.75504        0.218633         1.13502
1.73749         1.02719          1.1372
1.72012        0.350372         1.48861
1.70292        0.110853         1.15918
1.68589        0.958091         1.37239
1.66903        0.817315         1.12855
1.65234        0.817315         1.12855
1.63581        0.670176        0.642601
1.61946       0.0966315        0.516493
1.60326        0.110081        0.997003
1.58723        0.190503         1.30776
1.57136        0.202729         1.25295
1.55564        0.299328        0.989127
1.54009         1.04672        0.969385
1.52469         1.04008         1.25191
1.50944        0.606594        0.946446
1.49434         0.26677         1.08584
1.4794       0.0489209         1.14773
1.46461        0.993823        0.910372
1.44996         1.69715        0.587472
1.43546         1.04194        0.478754
1.42111        0.826225        0.463023
1.4069        0.826225        0.463023
1.39283         1.19668         0.53794
1.3789         1.07937        0.242958
1.36511        0.633062          0.4902
1.35146        0.639688        0.779225
1.33794         1.10983        0.727202
1.32456        0.105212          1.1455
1.31132         0.33495         1.35442
1.29821        0.283319         1.55153
1.28522           0.904         1.33249
1.27237           0.904         1.33249
1.25965        0.459246         1.17637
1.24705         0.25965         1.40588
1.23458       0.0284255         1.24866
1.22223        0.200673         1.20005
1.21001       0.0429673        0.941657
1.19791        0.698469        0.832104
1.18593        0.273719        0.743231
1.17407        0.679135        0.478876
1.16233        0.822069        0.578449
1.15071         0.65974          0.6703
1.1392        0.975494        0.854568
1.12781         1.14825        0.672711
1.11653        0.867598        0.939429
1.10537         1.14974         1.09135
1.09431        0.605369        0.667631
1.08337        0.855151        0.757678
1.07254        0.421541         1.17111
1.06181        0.110906        0.851803
1.05119        0.161879         1.03428
1.04068        0.285064        0.827439
1.03027        0.148718         1.31038
1.01997       0.0496204         1.36066
1.00977        0.416579          1.1499
0.999674        0.378661         1.26641
0.989677         0.13853         1.26765
0.979781      0.00881885        0.859463
0.969983       0.0412869        0.454556
0.960283        0.567826        0.769528
0.95068       0.0916702         1.09549
0.941173        0.285441         1.03138
0.931762        0.329596        0.850183
0.922444        0.461268        0.945845
0.913219        0.484406        0.949936
0.904087        0.251197        0.913505
0.895046        0.582959        0.693608
0.886096        0.713628        0.541432
0.877235         1.24203        0.647507
0.868463         1.24203        0.647507
0.859778         1.24203        0.647507
0.85118        0.389911        0.602388
0.842668        0.116847        0.931089
0.834242        0.295873        0.889856
0.825899        0.747076        0.844254
0.81764        0.276709        0.743845
0.809464        0.348578        0.628692
0.801369        0.340171        0.833675
0.793356        0.551595         1.06966
0.785422        0.642961        0.876378
0.777568        0.622561        0.640301
0.769792        0.539598        0.587704
0.762094        0.725828        0.512948
0.754473        0.425588        0.562842
0.746929        0.948074        0.728526
0.739459        0.642794        0.823794
0.732065        0.768892        0.739906
0.724744        0.768892        0.739906
0.717497         1.10125        0.610433
0.710322         1.39883        0.520351
0.703218         1.58174        0.567007
0.696186         1.26053        0.557222
0.689224        0.851134        0.432733
0.682332        0.992861        0.371237
0.675509         1.25635          0.6261
0.668754         0.95743        0.874667
0.662066        0.829814        0.766083
0.655446         0.65774        0.918845
0.648891        0.749151        0.922718
0.642402        0.820033        0.690995
0.635978         1.00057         0.83624
0.629618         0.63841        0.953313
0.623322        0.524376        0.959239
0.617089        0.347455         1.08971
0.610918        0.186532         1.01935
0.604809        0.450872         1.27239
0.598761        0.682878         1.17601
0.592773        0.407708        0.953785
0.586845        0.698245        0.960615
0.580977        0.427603        0.741617
0.575167         0.51721        0.886066
0.569416        0.437451        0.578636
0.563721        0.671899        0.519944
0.558084        0.671899        0.519944
0.552503        0.757186        0.541394
0.546978        0.863783        0.599252
0.541509        0.865372         0.48146
0.536093         1.00276        0.413808
0.530732         1.13587        0.464516
0.525425          1.3218        0.399573
0.520171         1.46558        0.492793
0.514969         1.46558        0.492793
0.50982         1.19902         0.31174
0.504721         1.31423        0.264592
0.499674           1.293        0.568738
0.494677         1.02388        0.527681
0.489731         1.16598        0.621854
0.484833         1.27276        0.542059
0.479985         1.27276        0.542059
0.475185         1.38605        0.619688
0.470433          1.3087        0.476708
0.465729         1.25437        0.404697
0.461072         1.28401        0.506324
0.456461         1.20406        0.576955
0.451896        0.999927        0.678124
0.447377        0.969178        0.590632
0.442904        0.969623        0.525711
0.438475        0.784821        0.468013
0.43409         1.06808        0.577144
0.429749         1.04271        0.502541
0.425451        0.979953          0.5345
0.421197         0.87654        0.527088
0.416985         0.94673        0.712452
0.412815         1.07287        0.739701
0.408687        0.898096         0.69408
0.4046        0.815777        0.846371
0.400554        0.621079        0.900118
0.396549        0.392758         1.02357
0.392583        0.746613        0.844291
0.388657        0.847438        0.936346
0.384771         1.08704        0.691726
0.380923         1.03154        0.860753
0.377114        0.914991        0.915275
0.373343        0.534723        0.985498
0.369609        0.506742        0.888461
0.365913        0.555372        0.705594
0.362254        0.285198        0.627728
0.358631        0.118566        0.659281
0.355045       0.0182685        0.689811
0.351495         0.12944        0.600308
0.34798        0.121795        0.559773
0.3445        0.166236        0.449389
0.341055        0.459411        0.542883
0.337644        0.726589        0.607116
0.334268        0.951009        0.614039
0.330925        0.733334         0.60133
0.327616        0.980446        0.642235
0.32434        0.782193        0.516753
0.321096         0.71206        0.534526
0.317885        0.626525        0.526599
0.314707        0.762226        0.589178
0.311559        0.727657        0.614936
0.308444         0.96884        0.574095
0.305359        0.981573        0.524048
0.302306        0.962228        0.552056
0.299283        0.915551        0.657541
0.29629         1.10399        0.646649
0.293327         1.10335        0.635234
0.290394         1.07146        0.663849
0.28749          1.1284        0.767031
0.284615         1.13379        0.782291
0.281769          1.1242        0.815509
0.278951         1.13613        0.808091
0.276162        0.968227        0.831422
0.2734        0.718493        0.836266
0.270666         0.76722        0.946568
0.267959        0.812975        0.958732
0.26528        0.757155        0.903171
0.262627         0.74642        0.895235
0.260001        0.612077        0.880145
0.257401        0.549908        0.891867
0.254827        0.477169        0.839476
0.252278        0.586481        0.839119
0.249756        0.633893        0.877469
0.247258        0.667124        0.877519
0.244785        0.602058        0.870735
0.242338        0.836151        0.855871
0.239914        0.896247        0.788481
0.237515        0.768646        0.731775
0.23514        0.747567         0.62226
0.232789        0.594096         0.60463
0.230461        0.707626        0.630001
0.228156        0.750561        0.554446
0.225875        0.802064        0.530114
0.223616        0.614769         0.56998
0.22138        0.627538        0.571915
0.219166        0.646093        0.582227
0.216974        0.553527        0.569566
0.214804        0.668916        0.512632
0.212656        0.665724        0.518919
0.21053        0.657327        0.603819
0.208425        0.684791        0.635587
0.20634        0.662628        0.640668
0.204277        0.489476        0.604743
0.202234        0.466017        0.618992
0.200212        0.381496        0.556814
0.19821         0.43071        0.532826
0.196228        0.607275        0.490016
0.194265        0.514298        0.521063
0.192323        0.614452        0.616395
0.190399        0.846918        0.698159
0.188495         0.96549        0.678732
0.18661        0.929049        0.655879
0.184744        0.968345        0.683189
0.182897        0.908644        0.683423
0.181068        0.978284        0.687121
0.179257         1.02192        0.693613
0.177465        0.922528        0.687309
0.17569        0.874175        0.691356
0.173933        0.772905        0.646334
0.172194        0.780355        0.656709
0.170472        0.736865        0.696069
0.168767        0.793984         0.61322
0.167079         0.81315        0.609923
0.165409         0.83008        0.628166
0.163755          1.0125        0.654742
0.162117         1.02683        0.615775
0.160496        0.984714        0.554184
0.158891         0.93786        0.566322
0.157302        0.901858        0.569445
0.155729        0.910403        0.588176
0.154172        0.930899        0.586413
0.15263        0.923032        0.543835
0.151104         1.02435         0.62623
0.149593         1.04466        0.646326
0.148097          1.1244        0.676074
0.146616         1.13983        0.669589
0.14515         1.11814        0.602623
0.143698        0.989872         0.58577
0.142261         1.06943        0.562406
0.140838        0.995086        0.585375
0.13943        0.856362        0.593912
0.138036         0.84741        0.556531
0.136655        0.840233        0.613467
0.135289        0.770332        0.622195
0.133936        0.794459        0.669973
0.132597         0.63529        0.654236
0.131271        0.715998        0.667494
0.129958        0.852991        0.705995
0.128658        0.801483        0.637571
0.127372        0.850213        0.625448
0.126098        0.825953        0.616676
0.124837        0.801293        0.628972
0.123589        0.747457        0.645013
0.122353        0.792064        0.611579
0.121129        0.840626         0.66092
0.119918        0.920702        0.648068
0.118719        0.891149         0.62587
0.117532        0.911617        0.660357
0.116356        0.906446        0.638224
0.115193        0.798633        0.613591
0.114041        0.773916        0.626427
0.1129        0.774993        0.602127
0.111771        0.718857        0.590107
0.110654         0.71344        0.587846
0.109547         0.75914        0.584499
0.108452        0.776219        0.569893
0.107367        0.781981        0.557867
0.106294        0.783971         0.56857
0.105231        0.837512        0.538301
0.104178        0.829376        0.547816
0.103137         0.87978        0.530101
0.102105        0.884539        0.561959
0.101084        0.850416        0.607547
0.100073        0.834522         0.64122
0.0990725        0.824589        0.650388
0.0980818        0.771223        0.676085
0.097101        0.793003        0.664159
0.09613         0.79125        0.644475
0.0951687        0.790445        0.628737
0.094217        0.717511        0.604724
0.0932748        0.739654         0.58967
0.0923421        0.738139        0.599705
0.0914186        0.677625        0.583698
0.0905044        0.686128        0.580383
0.0895994        0.761809        0.588467
0.0887034        0.718805        0.596832
0.0878164        0.734417        0.611429
0.0869382        0.824666        0.615585
0.0860688        0.851801        0.605199
0.0852081        0.826093        0.600557
0.0843561        0.805461        0.621969
0.0835125        0.788754        0.609423
0.0826774        0.791414        0.599328
0.0818506        0.803546        0.616204
0.0810321        0.799589        0.607201
0.0802218        0.816524        0.621168
0.0794196        0.837528        0.639349
0.0786254        0.835927        0.643171
0.0778391        0.844739        0.626523
0.0770607        0.830647        0.660825
0.0762901        0.808123        0.633973
0.0755272        0.840862        0.612139
0.0747719        0.837181        0.613697
0.0740242         0.74699        0.575583
0.073284        0.754352        0.590894
0.0725511        0.794869        0.574474
0.0718256        0.811843        0.571814
0.0711074         0.82131        0.575578
0.0703963        0.818623        0.574255
0.0696923        0.784402        0.589916
0.0689954        0.776497        0.584213
0.0683055        0.722386        0.589037
0.0676224        0.729166        0.599722
0.0669462         0.75902        0.594783
0.0662767        0.806285        0.626495
0.0656139        0.835855        0.616176
0.0649578         0.78319        0.641845
0.0643082        0.780255        0.652157
0.0636651        0.721724        0.651346
0.0630285         0.70246        0.656614
0.0623982        0.667746        0.675015
0.0617742        0.668568        0.653715
0.0611565        0.663164        0.668885
0.0605449        0.706004         0.68574
0.0599395        0.705692        0.665257
0.0593401        0.705052        0.679152
0.0587467        0.702373         0.69182
0.0581592        0.693993        0.690421
0.0575776         0.69011        0.677049
0.0570018        0.715567        0.690111
0.0564318        0.723207        0.697766
0.0558675        0.722508        0.679352
0.0553088        0.705406        0.672609
0.0547557        0.703829        0.681761
0.0542082        0.659239        0.674883
0.0536661        0.665957        0.677827
0.0531294        0.652319        0.648542
0.0525981        0.664585        0.670629
0.0520722        0.689981        0.653399
0.0515514        0.659279        0.661227
0.0510359        0.665552        0.659107
0.0505256        0.683272        0.656722
0.0500203        0.723592        0.661399
0.0495201        0.720167        0.655575
0.0490249        0.696096        0.640249
0.0485347        0.682963        0.666894
0.0480493        0.725966        0.667984
0.0475688        0.728749        0.682735
0.0470931        0.751965        0.701066
0.0466222        0.768596          0.7049
0.046156        0.744841        0.715822
0.0456944        0.767345        0.718578
0.0452375        0.758795        0.701506
0.0447851        0.757069         0.72434
0.0443372        0.742812        0.709682
0.0438939        0.752262        0.702978
0.0434549        0.735724        0.705104
0.0430204        0.756166        0.691193
0.0425902        0.741879        0.679752
0.0421643        0.758153        0.687932
0.0417426        0.799153         0.67683
0.0413252        0.795422         0.67619
0.040912        0.803971         0.68386
0.0405028        0.814829        0.670689
0.0400978        0.816235        0.679377
0.0396968        0.809039        0.673548
0.0392999         0.81506        0.695722
0.0389069        0.810421        0.697215
0.0385178        0.799388        0.702034
0.0381326        0.810192        0.686058
0.0377513        0.837145        0.680347
0.0373738        0.838881        0.679154
0.037        0.835515        0.667047
0.03663        0.843609        0.673364
0.0362637         0.79956        0.663913
0.0359011        0.767806        0.662356
0.0355421        0.779077        0.653821
0.0351867         0.79462        0.656626
0.0348348        0.746265        0.649988
0.0344865        0.748828        0.640505
0.0341416        0.730096        0.643855
0.0338002        0.723045         0.63154
0.0334622        0.746127        0.610509
0.0331276        0.763696        0.613738
0.0327963        0.780934        0.621546
0.0324683        0.763369        0.611919
0.0321436        0.757267         0.60767
0.0318222        0.773019        0.594921
0.031504        0.762598        0.604706
0.0311889          0.7762        0.595815
0.030877        0.784105        0.598334
0.0305683        0.799155        0.600027
0.0302626        0.805278        0.606671
0.02996        0.790618        0.612435
0.0296604        0.816727        0.614998
0.0293638        0.820357        0.605874
0.0290701        0.792223         0.61469
0.0287794          0.8241        0.617931
0.0284916        0.804724        0.611112
0.0282067        0.803534        0.603013
0.0279246        0.796137        0.592981
0.0276454        0.784187        0.597971
0.0273689        0.804444        0.604182
0.0270953        0.801483        0.592065
0.0268243         0.81848        0.580818
0.0265561        0.820161         0.58748
0.0262905        0.816217        0.602319
0.0260276         0.83072        0.596681
0.0257673         0.84346        0.609763
0.0255096        0.851372        0.608553
0.0252546        0.856812        0.616959
0.025002        0.852929        0.614996
0.024752        0.848546         0.60389
0.0245045         0.82074        0.610684
0.0242594        0.823901        0.613078
0.0240168        0.825137        0.610466
0.0237767        0.823277         0.60927
0.0235389        0.833559        0.607994
0.0233035        0.827239        0.609931
0.0230705        0.834599         0.60971
0.0228398        0.841492        0.612812
0.0226114        0.827005        0.610685
0.0223853        0.826817        0.621119
0.0221614        0.803911        0.620177
0.0219398        0.813841        0.613471
0.0217204        0.812107         0.61518
0.0215032        0.806814        0.611987
0.0212882        0.794706        0.617492
0.0210753        0.777928        0.617585
0.0208645        0.767379        0.613335
0.0206559        0.750553        0.608831
0.0204493        0.746702        0.615845
0.0202448         0.75317        0.612752
0.0200424         0.76206         0.61591
0.0198419        0.768341         0.61402
0.0196435        0.762862        0.614048
0.0194471        0.770787        0.615185
0.0192526        0.762179        0.607332
0.0190601        0.768829        0.609084
0.0188695        0.768277        0.610979
0.0186808        0.747537        0.601831
0.018494        0.748794        0.603694
0.0183091        0.753813        0.598332
0.018126        0.757212        0.600765
0.0179447        0.762325        0.597756
0.0177653        0.782688        0.591268
0.0175876        0.784068        0.592453
0.0174117        0.780162        0.586397
0.0172376        0.779358        0.587887
0.0170652        0.788925        0.584367
0.0168946        0.783467        0.589815
0.0167256        0.788222        0.592212
0.0165584        0.788864        0.588276
0.0163928        0.786364        0.588066
0.0162289        0.790327        0.583951
0.0160666        0.788301        0.590409
0.0159059        0.786723        0.593878
0.0157469        0.787566        0.596839
0.0155894        0.771631        0.604136
0.0154335        0.768759        0.605099
0.0152792        0.776487         0.60275
0.0151264        0.770625        0.604328
0.0149751        0.765562        0.604812
0.0148254        0.767838        0.606793
0.0146771        0.768476        0.611572
0.0145303        0.772815        0.610862
0.014385        0.767177        0.606085
0.0142412        0.766896          0.6013
0.0140988        0.766578        0.604338
0.0139578        0.762204        0.606638
0.0138182        0.767409        0.606477
0.01368        0.753511        0.605556
0.0135432        0.758027        0.602193
0.0134078        0.765027        0.594544
0.0132737        0.773485        0.588238
0.013141         0.77989        0.586761
0.0130096        0.767866        0.585845
0.0128795        0.766527        0.586231
0.0127507        0.768222        0.588686
0.0126232        0.760046        0.589012
0.0124969        0.749595        0.584443
0.012372        0.744991        0.583033
0.0122482        0.746325        0.580327
0.0121258         0.74831        0.580139
0.0120045        0.763249        0.583542
0.0118845        0.765381        0.580058
0.0117656         0.76537        0.581219
0.011648        0.774194        0.579598
0.0115315        0.775183        0.578995
0.0114162        0.780085        0.579915
0.011302        0.786219        0.581245
0.011189        0.789233        0.581558
0.0110771        0.784629        0.578895
0.0109663        0.777931        0.580525
0.0108567        0.774225        0.577071
0.0107481        0.774143        0.576067
0.0106406         0.77871         0.57914
0.0105342        0.791415         0.58385
0.0104289        0.791646        0.588082
0.0103246        0.792734        0.586334
0.0102213        0.796923        0.587095
0.0101191        0.791157        0.582718
0.0100179        0.792277        0.584442
