TEMP:             MU:          SIGMA: 
2               0             0.5
2        0.228259        0.984232
2        0.165087         1.29111
1.98        0.250547         1.21718
1.98        0.235922         1.70345
1.98         0.61088         1.69089
1.9602        0.107863         1.57177
1.9602         1.08782         1.55997
1.9602        0.942089         1.19603
1.9406        0.591069        0.781247
1.9406        0.609924         1.14005
1.9406       0.0434935         1.49677
1.92119       0.0218437         1.74542
1.92119          0.8698         1.58776
1.92119        0.373097         1.97192
1.90198       0.0722456         1.59974
1.90198         0.34411         1.47689
1.90198        0.991341         1.00268
1.88296         1.56589         1.43381
1.88296         1.91593        0.794023
1.88296        0.901766         1.17872
1.86413        0.988975         1.42901
1.86413          1.7409         1.49369
1.86413        0.970972        0.931616
1.84549         1.60469         1.06962
1.84549         1.57131         0.85827
1.84549        0.239596          1.0749
1.82703        0.550125        0.623884
1.82703         1.22499        0.533726
1.82703        0.410235        0.468417
1.80876        0.616664       0.0303428
1.80876        0.450245        0.721519
1.80876        0.402397         1.15021
1.79068        0.324008         1.52442
1.79068        0.619017         1.78168
1.79068       0.0958679         1.93673
1.77277        0.210238         1.97047
1.77277       0.0787892           1.672
1.77277        0.128574         1.54155
1.75504        0.458671         1.50409
1.75504        0.268054         1.88154
1.75504        0.218633         1.13502
1.73749       0.0318191        0.885871
1.73749        0.523406         1.09381
1.73749         1.02719          1.1372
1.72012        0.780398         1.28645
1.72012         1.63021        0.953335
1.72012        0.350372         1.48861
1.70292        0.257906         1.49979
1.70292        0.909545         1.89685
1.70292        0.110853         1.15918
1.68589        0.326928         1.35494
1.68589        0.989618         1.71257
1.68589        0.958091         1.37239
1.66903         1.34497         1.09566
1.66903         1.61613         1.23328
1.66903        0.817315         1.12855
1.65234        0.824585          1.2662
1.65234         1.25453        0.770891
1.65234         1.26506          1.4352
1.63581        0.908154         1.24321
1.63581        0.888388         1.00984
1.63581        0.670176        0.642601
1.61946         1.24882        0.894918
1.61946         1.06947        0.972045
1.61946       0.0966315        0.516493
1.60326        0.459687        0.621399
1.60326         1.06037        0.320355
1.60326        0.110081        0.997003
1.58723        0.568436         1.08065
1.58723        0.417115         1.38351
1.58723        0.190503         1.30776
1.57136        0.202729         1.25295
1.57136        0.516856         1.18954
1.57136       0.0319444         1.40665
1.55564        0.697474         1.15376
1.55564        0.379195         1.04285
1.55564        0.299328        0.989127
1.54009        0.343332        0.964016
1.54009        0.625777        0.801835
1.54009         1.04672        0.969385
1.52469         1.04008         1.25191
1.52469         1.45037         1.18833
1.52469          1.2355         1.46138
1.50944        0.341786         1.11925
1.50944        0.606594        0.946446
1.50944          1.0508          1.0849
1.49434       0.0228426         1.02854
1.49434         0.26677         1.08584
1.49434       0.0863083         1.44404
1.4794        0.452382         1.30704
1.4794        0.174023         1.12935
1.4794       0.0489209         1.14773
1.46461        0.634318         1.26769
1.46461        0.627825        0.986339
1.46461        0.993823        0.910372
1.44996         1.41261         1.16309
1.44996         1.69715        0.587472
1.44996          2.2388        0.580313
1.43546         1.93065        0.250953
1.43546         1.04194        0.478754
1.43546        0.733738        0.201154
1.42111        0.436539        0.719272
1.42111         1.01809        0.704057
1.42111        0.826225        0.463023
1.4069         1.32275        0.581642
1.4069        0.349616        0.141171
1.4069         1.47708        0.450792
1.39283         1.19668         0.53794
1.39283          1.4035        0.238206
1.39283         1.30193         0.23042
1.3789         1.07937        0.242958
1.3789        0.607194        0.047474
1.3789         1.70693       0.0698813
1.36511         1.27022        0.190688
1.36511        0.633062          0.4902
1.36511        0.834566        0.244015
1.35146        0.833253        0.289391
1.35146        0.639688        0.779225
1.35146         1.29735         0.95386
1.33794        0.118669         0.65721
1.33794        0.780833        0.935409
1.33794         1.10983        0.727202
1.32456         1.70473        0.858254
1.32456        0.690348         1.04093
1.32456        0.105212          1.1455
1.31132        0.517145         0.98253
1.31132        0.611955         1.22591
1.31132         0.33495         1.35442
1.29821        0.205822          1.6597
1.29821        0.283319         1.55153
1.29821        0.819066         1.58021
1.28522        0.424627         1.63443
1.28522        0.480687          1.8642
1.28522           0.904         1.33249
1.27237         1.44477         1.03419
1.27237          1.5249         1.58871
1.27237         1.11651         1.32675
1.25965         1.07493         1.51381
1.25965        0.297226         1.17199
1.25965        0.459246         1.17637
1.24705        0.168729         1.35029
1.24705        0.610105         1.46487
1.24705         0.25965         1.40588
1.23458        0.554373         1.68194
1.23458        0.170392         1.47182
1.23458       0.0284255         1.24866
1.22223        0.200673         1.20005
1.22223        0.650126         1.49107
1.22223         0.18005         1.40085
1.21001       0.0275295         1.05864
1.21001        0.242621         1.10227
1.21001       0.0429673        0.941657
1.19791        0.383086         1.09719
1.19791        0.471095        0.976905
1.19791        0.698469        0.832104
1.18593        0.716372        0.918698
1.18593         1.20699         1.15608
1.18593        0.273719        0.743231
1.17407        0.700256        0.464252
1.17407        0.831958        0.430086
1.17407        0.679135        0.478876
1.16233         1.21184        0.341001
1.16233        0.381443        0.299551
1.16233        0.822069        0.578449
1.15071        0.955015        0.787166
1.15071         0.65974          0.6703
1.15071         1.21693        0.949813
1.1392        0.883132        0.582215
1.1392        0.938532        0.607713
1.1392        0.975494        0.854568
1.12781         1.15478        0.684829
1.12781         1.14825        0.672711
1.12781        0.896189        0.391957
1.11653         1.00253        0.940571
1.11653        0.867598        0.939429
1.11653         1.20987        0.903888
1.10537         1.18503         1.17088
1.10537         1.14974         1.09135
1.10537         1.51092         1.33025
1.09431          1.1239          0.8977
1.09431        0.605369        0.667631
1.09431          0.8954        0.851236
1.08337        0.220865        0.755913
1.08337        0.855151        0.757678
1.08337         1.38954        0.717813
1.07254         1.32058        0.987136
1.07254        0.605606        0.903751
1.07254        0.421541         1.17111
1.06181        0.392973         1.06852
1.06181        0.351473        0.927818
1.06181        0.110906        0.851803
1.05119        0.323628         1.11012
1.05119        0.208682         1.03044
1.05119        0.161879         1.03428
1.04068      0.00775555         1.00882
1.04068        0.427838        0.910209
1.04068        0.285064        0.827439
1.03027        0.131577         1.05118
1.03027      0.00189161         1.24506
1.03027        0.148718         1.31038
1.01997        0.150554         1.31117
1.01997         0.24959         1.36829
1.01997       0.0496204         1.36066
1.00977        0.416579          1.1499
1.00977         0.59525         1.28026
1.00977        0.418994         1.40139
0.999674        0.224973          1.0753
0.999674        0.378661         1.26641
0.999674        0.192739         1.39849
0.989677      0.00764503         1.34072
0.989677        0.138255         1.13523
0.989677         0.13853         1.26765
0.979781      0.00319289         1.13443
0.979781        0.328351         1.03626
0.979781      0.00881885        0.859463
0.969983        0.146362        0.707147
0.969983        0.307729        0.657786
0.969983       0.0412869        0.454556
0.960283        0.289946        0.616371
0.960283        0.152199        0.550792
0.960283        0.567826        0.769528
0.95068        0.402476        0.812105
0.95068        0.446032         1.03081
0.95068       0.0916702         1.09549
0.941173         0.16933         1.01735
0.941173        0.112782           1.005
0.941173        0.285441         1.03138
0.931762        0.518315        0.885517
0.931762        0.329596        0.850183
0.931762        0.155088        0.635826
0.922444        0.466213        0.956646
0.922444        0.200289         1.06676
0.922444        0.461268        0.945845
0.913219        0.488433         1.00932
0.913219        0.623104        0.956035
0.913219        0.484406        0.949936
0.904087        0.578739         1.14784
0.904087       0.0421442        0.916672
0.904087        0.251197        0.913505
0.895046        0.390895        0.815076
0.895046        0.824358        0.796285
0.895046        0.582959        0.693608
0.886096        0.576014         0.47917
0.886096        0.417036        0.516892
0.886096        0.713628        0.541432
0.877235        0.677784        0.528078
0.877235         1.02196        0.716173
0.877235         1.24203        0.647507
0.868463         1.34988        0.863563
0.868463         1.57224        0.837889
0.868463         1.50313        0.719546
0.859778         1.41317        0.433095
0.859778         1.65333        0.657275
0.859778         1.25411        0.852706
0.85118         1.08644        0.523164
0.85118        0.709152        0.399926
0.85118        0.389911        0.602388
0.842668       0.0324993        0.596796
0.842668      0.00542121        0.773354
0.842668        0.116847        0.931089
0.834242        0.459824        0.789488
0.834242         0.38164        0.701644
0.834242        0.295873        0.889856
0.825899        0.630551         1.03321
0.825899          1.0342        0.895155
0.825899        0.747076        0.844254
0.81764        0.542091        0.738888
0.81764        0.609555        0.687491
0.81764        0.276709        0.743845
0.809464       0.0597999        0.655336
0.809464         0.22513        0.524276
0.809464        0.348578        0.628692
0.801369        0.431203        0.712514
0.801369        0.271751        0.767586
0.801369        0.340171        0.833675
0.793356       0.0413069        0.879286
0.793356        0.289979        0.986259
0.793356        0.551595         1.06966
0.785422        0.878593        0.884964
0.785422        0.777481        0.984745
0.785422        0.642961        0.876378
0.777568        0.999499        0.751626
0.777568         1.32178         0.87462
0.777568        0.622561        0.640301
0.769792        0.458433        0.555047
0.769792        0.489952        0.742204
0.769792        0.539598        0.587704
0.762094        0.758488        0.699108
0.762094        0.409031        0.511728
0.762094        0.725828        0.512948
0.754473        0.665761        0.348385
0.754473        0.695683        0.403938
0.754473        0.425588        0.562842
0.746929        0.609889        0.647637
0.746929        0.948074        0.728526
0.746929          1.1392        0.710712
0.739459         0.85296        0.807984
0.739459        0.642794        0.823794
0.739459         0.90241        0.903043
0.732065        0.365922        0.803791
0.732065        0.411527        0.828981
0.732065        0.768892        0.739906
0.724744          1.0552        0.888963
0.724744        0.846924        0.916992
0.724744         1.03199        0.756536
0.717497        0.937618        0.819122
0.717497         1.10125        0.610433
0.717497         1.40121        0.606624
0.710322         1.39883        0.520351
0.710322         1.62838        0.405544
0.710322         1.41124        0.616574
0.703218         1.58174        0.567007
0.703218         1.86906        0.560441
0.703218         1.92506        0.684562
0.696186         1.90832        0.632492
0.696186         1.44651        0.525311
0.696186         1.26053        0.557222
0.689224         1.06051        0.573724
0.689224          1.3315         0.50364
0.689224        0.851134        0.432733
0.682332         1.15456        0.418749
0.682332         1.02669        0.286897
0.682332        0.992861        0.371237
0.675509         1.29393        0.525478
0.675509         1.62644        0.405785
0.675509         1.25635          0.6261
0.668754          1.0042        0.726212
0.668754        0.880193        0.723741
0.668754         0.95743        0.874667
0.662066         1.01239         1.02611
0.662066         1.11493        0.810731
0.662066        0.829814        0.766083
0.655446         1.14549        0.733137
0.655446        0.974874        0.759459
0.655446         0.65774        0.918845
0.648891        0.670274         1.01073
0.648891        0.968579         1.04044
0.648891        0.749151        0.922718
0.642402         1.00396        0.846286
0.642402         1.22865        0.877419
0.642402        0.820033        0.690995
0.635978         1.03022        0.811356
0.635978         1.00057         0.83624
0.635978         1.28098        0.885659
0.629618        0.915377        0.949215
0.629618         0.63841        0.953313
0.629618        0.796864         1.07844
0.623322         0.51732        0.828728
0.623322        0.679784        0.964494
0.623322        0.524376        0.959239
0.617089        0.443667         1.09542
0.617089        0.347455         1.08971
0.617089        0.128523         1.23397
0.610918        0.183585         1.12501
0.610918       0.0288743          0.9786
0.610918        0.186532         1.01935
0.604809       0.0524664         1.10053
0.604809        0.172868         1.16373
0.604809        0.450872         1.27239
0.598761        0.197671         1.19995
0.598761        0.444904         1.16274
0.598761        0.682878         1.17601
0.592773        0.503507         1.12135
0.592773        0.279824         1.04366
0.592773        0.407708        0.953785
0.586845        0.379108        0.950863
0.586845        0.627031        0.881853
0.586845        0.698245        0.960615
0.580977        0.704214        0.873253
0.580977        0.427603        0.741617
0.580977        0.183482        0.639498
0.575167        0.168318        0.873534
0.575167        0.311236        0.875502
0.575167         0.51721        0.886066
0.569416        0.345733        0.761287
0.569416        0.509599        0.688107
0.569416        0.437451        0.578636
0.563721        0.179007        0.476343
0.563721        0.234588        0.577276
0.563721        0.671899        0.519944
0.558084        0.667616         0.50873
0.558084        0.400438        0.413985
0.558084        0.559122        0.407623
0.552503        0.617897        0.553701
0.552503        0.508835        0.419821
0.552503        0.757186        0.541394
0.546978        0.614305        0.668447
0.546978        0.863783        0.599252
0.546978        0.629805        0.482779
0.541509        0.865372         0.48146
0.541509        0.850007        0.408139
0.541509        0.876615        0.414518
0.536093        0.824995        0.570167
0.536093        0.901011        0.530006
0.536093         1.00276        0.413808
0.530732         1.22458        0.439275
0.530732         1.02964        0.531624
0.530732         1.13587        0.464516
0.525425         1.16321        0.361611
0.525425          1.3218        0.399573
0.525425         1.48295        0.408424
0.520171         1.35875        0.321824
0.520171         1.46558        0.492793
0.520171         1.66476        0.584368
