TEMP:             MU:          SIGMA: 
2        0.599439        0.768778
1.996          1.0485        0.985878
1.99201        0.461834        0.406758
1.98802        0.496192         1.54462
1.98405        0.266512         1.54923
1.98008         1.08788        0.828668
1.97612        0.079698        0.761377
1.97217        0.756432        0.610917
1.96822        0.291555        0.972478
1.96429         1.58392        0.278074
1.96036        0.757151        0.606541
1.95644        0.343767        0.677147
1.95252        0.720249         1.35471
1.94862        0.212045         1.07077
1.94472         0.26833         1.01749
1.94083         1.11745        0.565132
1.93695         1.55326        0.484228
1.93308          1.0587        0.920594
1.92921       0.0509019         1.45705
1.92535        0.397152         1.46466
1.9215         0.59296         1.38769
1.91766        0.579712        0.655953
1.91382        0.319996         1.06466
1.91        0.323016          1.1908
1.90618         1.52622        0.732974
1.90236        0.392394         1.28381
1.89856        0.100226        0.534165
1.89476        0.866458         1.36277
1.89097        0.895838        0.918052
1.88719        0.251887         1.03415
1.88342         1.44448         0.70804
1.87965        0.776231        0.535043
1.87589        0.223616         1.80233
1.87214        0.825683        0.917152
1.86839        0.112836        0.891506
1.86466        0.506557         1.13824
1.86093          0.3722        0.348997
1.85721        0.364433        0.374138
1.85349         1.01823        0.894092
1.84978        0.838782        0.747362
1.84608         1.27391        0.239172
1.84239        0.646356        0.982287
1.83871         1.02154        0.713447
1.83503         1.45673        0.658153
1.83136       0.0468746         1.21351
1.8277          1.5676        0.481858
1.82404        0.556951        0.955179
1.82039       0.0406601         1.55328
1.81675         1.23505         1.18409
1.81312        0.842755         1.66135
1.80949        0.256832        0.224942
1.80587        0.532921        0.674551
1.80226        0.496054        0.560167
1.79866        0.316455         1.37228
1.79506        0.490673        0.801094
1.79147          1.2646         0.73607
1.78789        0.535142         1.11932
1.78431        0.628803         1.07127
1.78074        0.736244        0.954392
1.77718        0.408786         1.14014
1.77363        0.234794         1.19364
1.77008          1.1783        0.484038
1.76654        0.851361         0.37769
1.76301         1.14588        0.540011
1.75948        0.440373        0.283586
1.75596        0.292339           0.848
1.75245        0.953557        0.638715
1.74895        0.277493         1.22903
1.74545       0.0363861        0.354243
1.74196        0.616708        0.741334
1.73847        0.633924         1.18662
1.735        0.702088          1.2042
1.73153         0.22637        0.764436
1.72806         1.01177        0.930719
1.72461         1.10766        0.761336
1.72116       0.0146687        0.707498
1.71772        0.788933        0.607338
1.71428         1.54694        0.794847
1.71085        0.269428        0.406227
1.70743        0.458823        0.503711
1.70401       0.0245934         1.30835
1.70061        0.504542        0.348487
1.69721        0.492001        0.463148
1.69381         0.85241         0.77546
1.69042         1.00175        0.894134
1.68704        0.635164        0.626238
1.68367          1.3287        0.566516
1.6803           1.195         0.48432
1.67694        0.115635          1.0226
1.67359         0.56412          1.3946
1.67024      0.00112295        0.704606
1.6669         1.86426        0.999545
1.66357         1.21966        0.596625
1.66024         1.28647        0.693547
1.65692        0.943046        0.820869
1.6536        0.716769        0.910187
1.6503         1.01139        0.693382
1.647        0.500567        0.595076
1.6437        0.907648         0.99523
1.64041        0.869742        0.821846
1.63713        0.568501         1.00968
1.63386        0.569647          1.4019
1.63059        0.251562         1.30772
1.62733        0.168766        0.740225
1.62408         0.36158        0.685743
1.62083        0.116549         1.24413
1.61759        0.825188        0.461508
1.61435        0.177407        0.708094
1.61112        0.850334         0.69929
1.6079        0.645525         1.21544
1.60468        0.404085        0.597246
1.60147        0.914492         1.44822
1.59827        0.397599        0.791364
1.59508        0.299421        0.743261
1.59189        0.472075        0.780278
1.5887         1.20136        0.434327
1.58552        0.103365         1.09867
1.58235        0.269441         1.27583
1.57919         1.73003        0.545975
1.57603        0.444488        0.301312
1.57288        0.646407          0.6906
1.56973        0.405243        0.515366
1.56659          1.5548        0.470238
1.56346         1.05509        0.602479
1.56033        0.813043         1.02193
1.55721        0.865365         1.07286
1.5541       0.0882967         1.13555
1.55099        0.068931        0.642303
1.54789         1.31698        0.388145
1.54479        0.709025         0.90393
1.5417        0.449039        0.672711
1.53862        0.651088        0.996843
1.53554        0.640494        0.590656
1.53247        0.172488        0.795278
1.52941        0.541064        0.842583
1.52635        0.456006        0.512237
1.52329       0.0770933        0.550856
1.52025          1.1378        0.620997
1.51721         1.28205        0.902903
1.51417        0.421367         0.40726
1.51114         1.25028        0.312254
1.50812         1.37722        0.676291
1.50511        0.696707        0.998702
1.50209        0.158009        0.624652
1.49909        0.351712         1.67174
1.49609         0.68187         1.20735
1.4931        0.394252         1.26654
1.49011          0.7392        0.677381
1.48713        0.310322         1.15926
1.48416         1.04841        0.251159
1.48119         1.05427        0.774212
1.47823        0.393074        0.820978
1.47527         1.07351        0.877956
1.47232         1.00284        0.584142
1.46938        0.949131        0.485957
1.46644        0.579693        0.403161
1.46351         1.27493        0.586016
1.46058        0.841788        0.430042
1.45766        0.482422        0.657794
1.45474        0.548905         1.02795
1.45183        0.318345         1.01196
1.44893        0.517815         0.64543
1.44603        0.775584        0.318302
1.44314        0.376065        0.267337
1.44025       0.0713013          1.1531
1.43737         1.37172        0.528222
1.4345        0.709014        0.491454
1.43163        0.402963        0.360754
1.42877        0.676937        0.343811
1.42591        0.165457        0.748662
1.42306       0.0718649        0.747556
1.42021        0.136123        0.904115
1.41737        0.599387         1.13377
1.41453        0.282929          1.0334
1.41171        0.331797         1.17008
1.40888        0.309803           1.606
1.40606        0.285421         1.54887
1.40325       0.0199775        0.580416
1.40045        0.109426        0.884387
1.39765        0.434231        0.416298
1.39485        0.748577        0.544777
1.39206        0.594749        0.492158
1.38928        0.314052        0.627503
1.3865        0.822024        0.586061
1.38372        0.635718        0.396378
1.38096        0.694333        0.740767
1.3782        0.525219        0.892522
1.37544        0.630998         1.21268
1.37269       0.0964712        0.510045
1.36994        0.832631         1.16278
1.3672       0.0693015        0.435625
1.36447        0.851563        0.746945
1.36174         1.08767        0.495611
1.35902        0.614713        0.580945
1.3563        0.491117        0.810609
1.35359        0.220743        0.416845
1.35088          1.1408        0.945247
1.34818        0.480344         1.21855
1.34548       0.0933717         1.93451
1.34279        0.859024         1.52302
1.3401        0.451093        0.941125
1.33742        0.397256        0.788584
1.33475        0.346661          1.0148
1.33208        0.291802         1.33831
1.32941         1.06907         1.14414
1.32676        0.631894        0.822237
1.3241        0.842817        0.602783
1.32145        0.185979        0.751022
1.31881       0.0945206         0.68037
1.31617        0.751843        0.480769
1.31354         1.34197        0.603708
1.31091         0.63434          1.0386
1.30829        0.457847         1.32389
1.30568        0.430572        0.573896
1.30306        0.324079        0.464822
1.30046        0.382713        0.738938
1.29786       0.0837638        0.788602
1.29526         0.71786        0.660425
1.29267         1.07365        0.863353
1.29009          0.4209          1.5902
1.28751        0.395464         1.33175
1.28493        0.442188         1.09966
1.28236        0.018032          1.4446
1.2798        0.665012          1.1807
1.27724        0.666523        0.701548
1.27468       0.0668437         1.11672
1.27213        0.970851        0.363112
1.26959         1.16814        0.702747
1.26705        0.204307        0.501835
1.26451        0.560033        0.962166
1.26199        0.783967        0.811511
1.25946       0.0708138        0.653883
1.25694        0.221279        0.803382
1.25443        0.524748        0.620515
1.25192        0.287422        0.658118
1.24942       0.0701162        0.603774
1.24692        0.288791         1.31416
1.24442        0.261935         1.19614
1.24193        0.436103        0.854747
1.23945        0.911687        0.878238
1.23697        0.708593        0.777383
1.2345        0.659647        0.365222
1.23203        0.937488        0.405368
1.22957       0.0357691        0.747056
1.22711       0.0454754        0.593323
1.22465         0.65158        0.587802
1.2222        0.984355         1.05515
1.21976        0.453566        0.956471
1.21732        0.276189          1.4148
1.21488       0.0340774          1.0992
1.21245        0.284219        0.509575
1.21003        0.808659        0.650509
1.20761        0.432004        0.736344
1.20519        0.580752          1.1039
1.20278         1.26607         1.06123
1.20038         1.08999         0.85969
1.19798        0.731396        0.685277
