TEMP:             MU:          SIGMA: 
2               0             0.5
2        0.228259        0.984232
2        0.165087         1.29111
2        0.250547         1.21718
2        0.235774         1.70836
2        0.614519         1.69568
2        0.106422         1.57535
2         1.10628         1.56331
2        0.957586         1.19199
2        0.599439        0.768778
1.996        0.618871         1.13857
1.996       0.0362695         1.50546
1.996        0.030933         1.76121
1.996        0.912587             1.6
1.996        0.378707         1.99912
1.996       0.0839763         1.61244
1.996        0.369279         1.48352
1.996          1.0485        0.985878
1.996         1.65146         1.43832
1.996          2.0286         0.76469
1.99201        0.953553         1.17248
1.99201         1.04581         1.43727
1.99201         1.85025         1.50905
1.99201         1.02751        0.908427
1.99201          1.7047          1.0559
1.99201          1.6755        0.829257
1.99201        0.238064         1.06308
1.99201        0.614355        0.576263
1.99201         1.35015        0.477963
1.99201        0.461834        0.406758
1.98802        0.686903       0.0708729
1.98802        0.483925        0.684943
1.98802        0.431335         1.15612
1.98802        0.345178         1.56742
1.98802        0.672699         1.85303
1.98802        0.120972         2.02517
1.98802        0.218869         2.06263
1.98802       0.0701835         1.73292
1.98802        0.162358         1.58663
1.98802        0.496192         1.54462
1.98405        0.327007         1.97217
1.98405         0.26949         1.12739
1.98405       0.0582999        0.845732
1.98405        0.575714         1.08318
1.98405         1.15099         1.13273
1.98405        0.869174         1.30315
1.98405         1.84938        0.918927
1.98405        0.373165         1.53633
1.98405        0.266512         1.54923
1.98405         1.02573         2.01183
1.98008        0.095182         1.15239
1.98008        0.413852            1.38
1.98008         1.19218         1.80005
1.98008         1.15516         1.40051
1.98008        0.868243         1.05498
1.98008         1.18994         1.21825
1.98008        0.563948         1.25727
1.98008        0.572573         1.42058
1.98008         1.08788        0.828668
1.98008         1.62444         1.19614
1.97612         1.19674        0.966063
1.97612         1.17286        0.684143
1.97612        0.909251        0.240509
1.97612         1.87188        0.988951
1.97612          1.6601         1.08614
1.97612        0.472999        0.530261
1.97612        0.916013        0.658272
1.97612         1.65639        0.287216
1.97612        0.213738         1.12123
1.97612        0.079698        0.761377
1.97217          0.1087         1.13843
1.97217        0.360891         1.42062
1.97217         0.12389         1.07033
1.97217        0.518143        0.990737
1.97217        0.303796         1.18364
1.97217        0.924737         1.05915
1.97217         0.52124        0.918546
1.97217        0.419989        0.850434
1.97217        0.394745        0.818599
1.97217        0.756432        0.610917
1.96822         1.29547        0.825474
1.96822         1.28699         1.18654
1.96822         1.81663         1.10446
1.96822         1.53926         1.45694
1.96822        0.385556         1.01529
1.96822         0.73085        0.789961
1.96822         1.31007        0.970496
1.96822       0.0898991        0.897002
1.96822        0.291555        0.972478
1.96822        0.173491         1.44427
1.96429        0.536026         1.26383
1.96429        0.166432          1.0279
1.96429      0.00032754          1.0523
1.96429        0.777593         1.21158
1.96429        0.776737        0.835846
1.96429          1.2676        0.733962
1.96429         1.82927         1.07289
1.96429         2.22042        0.296524
1.96429         2.00137        0.724264
1.96429         1.58392        0.278074
1.96036        0.687325        0.129303
1.96036         1.16303        0.101034
1.96036        0.757151        0.606541
1.96036         1.55938        0.585552
1.96036        0.492475        0.274046
1.96036         1.44208        0.770171
1.96036       0.0930474        0.158075
1.96036         1.66404        0.589498
1.96036         1.27334         0.71093
1.96036         1.04825        0.184674
1.95644        0.905282        0.173716
1.95644        0.592372        0.192193
1.95644        0.077573       0.0851672
1.95644         1.48277       0.0533748
1.95644        0.863163        0.118031
1.95644       0.0472664        0.546534
1.95644        0.336056        0.193708
1.95644        0.334175        0.258741
1.95644        0.343767        0.677147
1.95644         1.29583        0.929958
1.95252        0.410486        0.500512
1.95252        0.616465        0.728438
1.95252         1.09659        0.424592
1.95252         1.96475        0.615843
1.95252        0.478233        0.887059
1.95252        0.384309         1.04121
1.95252        0.991534        0.800968
1.95252          1.1327         1.16335
1.95252        0.720249         1.35471
1.95252       0.0849476         1.80926
1.94862        0.209638         1.65117
1.94862          1.0138         1.69421
1.94862        0.421742         1.77559
1.94862        0.508882         2.12522
1.94862          1.1507         1.31906
1.94862         1.97059         0.86679
1.94862          2.1016         1.71145
1.94862         1.47616         1.31026
1.94862         1.41247         1.59675
1.94862        0.212045         1.07077
1.94472        0.462681         1.07754
1.94472       0.0141635         1.34605
1.94472        0.702471         1.52474
1.94472        0.653875         1.43274
1.94472        0.473771         1.77656
1.94472        0.131079         1.44559
1.94472       0.0925485         1.09405
1.94472         0.26833         1.01749
1.94472        0.983464         1.48053
1.94472        0.235516         1.33699
1.94083      0.00716266        0.792492
1.94083        0.426153        0.862476
1.94083        0.105913        0.604849
1.94083        0.577468        0.854316
1.94083        0.720058        0.659437
1.94083         1.08844        0.424833
1.94083         1.11745        0.565132
1.94083         1.92037        0.953616
1.94083        0.393028        0.277972
1.94083          1.8155        0.108571
1.93695         1.33516        0.508653
1.93695         1.08304        0.589145
1.93695         1.96189        0.361682
1.93695        0.586956        0.290312
1.93695         1.32123        0.755076
1.93695         1.30459        0.936959
1.93695        0.586013        0.392427
1.93695         2.02094         1.05964
1.93695         1.45907        0.440874
1.93695         1.55326        0.484228
1.93308         1.61611        0.903948
1.93308         1.85749        0.196204
1.93308         1.54207        0.463458
1.93308         1.11004       0.0177573
1.93308         1.29231        0.922572
1.93308          1.0587        0.920594
1.93308         1.65128        0.859061
1.93308         1.60827         1.32131
1.93308         1.55212         1.18628
1.93308         1.69033         1.33839
1.92921         1.01349        0.581936
1.92921       0.0993589        0.176338
1.92921          1.5248         0.90562
1.92921        0.335635        0.737571
1.92921        0.780435        0.897922
1.92921         1.73205        0.826933
1.92921         1.60924         1.30653
1.92921         0.33157         1.16067
1.92921     0.000485344         1.64157
1.92921       0.0509019         1.45705
1.92535       0.0244992          1.2014
1.92535        0.813919         1.06357
1.92535        0.025992         1.53197
1.92535        0.993006         1.39075
1.92535        0.728194         1.07061
1.92535        0.417494         1.02397
1.92535        0.388394        0.841536
1.92535        0.124248        0.688405
1.92535        0.646575         1.10235
1.92535        0.397152         1.46466
1.9215        0.671537         1.58674
1.9215        0.161002         1.46612
1.9215        0.347573         1.57374
1.9215        0.216102         1.55936
1.9215        0.662161          1.1623
1.9215         1.00216         1.41038
1.9215        0.666757         1.64088
1.9215        0.297553         1.02035
1.9215         0.59296         1.38769
1.9215        0.235595         1.64157
1.91766         0.12018         1.53053
1.91766        0.373259         1.13236
1.91766        0.163058         1.38895
1.91766       0.0986473        0.874212
1.91766        0.550261        0.682078
1.91766       0.0751375        0.336043
1.91766        0.228587       0.0379246
1.91766        0.394161        0.238457
1.91766        0.451619       0.0657432
1.91766        0.579712        0.655953
1.91382        0.303241        0.524993
1.91382         1.13158        0.960929
1.91382        0.802037         1.04579
1.91382         0.88972         1.48605
1.91382        0.176351         1.61626
1.91382         0.34907         1.45896
1.91382        0.234084         1.43384
1.91382         0.57568         1.48749
1.91382        0.707621         1.13724
1.91382        0.319996         1.06466
1.91       0.0384413        0.624378
1.91        0.600042          1.2829
1.91       0.0494249         1.51089
1.91        0.589805         1.26054
1.91        0.646051         1.39196
1.91        0.927716         1.28052
1.91        0.637629         1.26776
1.91        0.834927         1.68168
1.91        0.296704         1.19749
1.91        0.323016          1.1908
1.90618        0.618145        0.982855
1.90618         1.54129        0.942837
1.90618        0.104038        0.764184
1.90618       0.0892466        0.307496
1.90618        0.252747        0.388644
1.90618        0.890778        0.441433
1.90618        0.813669        0.412706
1.90618         1.56154        0.821426
1.90618         1.29186        0.263498
1.90618         1.52622        0.732974
1.90236         2.25101         1.15084
1.90236         2.09817        0.890776
1.90236         1.90112        0.263306
1.90236         2.43629        0.754588
1.90236         1.55297           1.187
1.90236         1.18196        0.457851
1.90236        0.338741        0.182417
1.90236        0.468465        0.910347
1.90236        0.475611        0.897849
1.90236        0.392394         1.28381
1.89856        0.116368         1.63991
1.89856         1.16513         0.96478
1.89856        0.987203        0.764868
1.89856        0.792013          1.1932
1.89856         1.74886         1.09111
1.89856         1.91511        0.447514
1.89856         1.25507        0.330502
1.89856        0.515989        0.522655
1.89856         0.67264        0.403311
1.89856        0.100226        0.534165
1.89476        0.681147        0.328649
1.89476         1.06815       0.0218672
1.89476        0.970109        0.573062
1.89476         1.16351        0.769269
1.89476        0.786506        0.899481
1.89476        0.948279         1.05574
1.89476        0.241643         1.16359
1.89476        0.549564         1.41907
1.89476        0.866458         1.36277
1.89476         1.64742        0.921663
1.89097        0.622535         1.60349
1.89097        0.298667         1.34258
1.89097         1.15706         1.04223
1.89097         1.94082         1.34134
1.89097        0.240383          0.7715
1.89097        0.158761         0.56417
1.89097        0.236186         1.02392
1.89097         0.35814        0.644391
1.89097        0.895838        0.918052
1.89097       0.0287359        0.453109
1.88719        0.814798        0.456136
1.88719        0.666053       0.0486264
1.88719        0.739396        0.183465
1.88719       0.0637971        0.580938
1.88719        0.524798        0.793039
1.88719         1.37926        0.997414
1.88719         1.00769        0.748028
1.88719        0.284484        0.993796
1.88719        0.251887         1.03415
1.88719         0.91446          1.2364
1.88342        0.454725        0.983095
1.88342        0.572056          1.0479
1.88342         1.49146        0.818735
1.88342         1.30866         1.43139
1.88342        0.774842          1.5081
1.88342         1.25578         1.09112
1.88342         1.01053         1.25377
1.88342         1.44448         0.70804
1.88342         2.23187        0.698043
1.88342         2.22563        0.471578
1.87965         2.05315        0.403629
1.87965         1.47732        0.962665
1.87965         1.92851          0.8315
1.87965         2.21245        0.690489
1.87965         2.36214         1.02225
1.87965          2.3174        0.883077
1.87965         1.07936        0.595464
1.87965         0.57723        0.681622
1.87965        0.037191        0.726175
1.87965        0.776231        0.535043
1.87589         0.20522        0.150534
1.87589         1.60208        0.496981
1.87589        0.424689        0.172553
1.87589         0.33168        0.404423
1.87589         1.15938        0.828466
1.87589         2.08278        0.496079
1.87589         1.05503         1.10789
1.87589         0.35481         1.38591
1.87589      0.00696377         1.37897
1.87589        0.223616         1.80233
1.87214        0.377783         2.22714
1.87214        0.668994         1.62154
1.87214        0.137246         1.49529
1.87214         1.02988         1.40212
1.87214        0.542561         1.47731
1.87214        0.363263         1.93256
1.87214        0.578361         1.73976
1.87214         1.40321         1.56302
1.87214       0.0905173         1.13767
1.87214        0.825683        0.917152
1.86839         1.48049         1.00788
1.86839        0.290734        0.465497
1.86839           1.437         1.26722
1.86839         1.35607         1.34386
1.86839         1.64949         1.06234
1.86839        0.575402         1.24905
1.86839        0.246498         1.26121
1.86839        0.716709         1.63253
1.86839        0.112836        0.891506
1.86839        0.599818         1.29846
1.86466        0.352997        0.875755
1.86466        0.111559         1.28314
1.86466        0.179166          1.2659
1.86466        0.482381          1.7018
1.86466           0.316         1.37255
1.86466        0.469306        0.819025
1.86466         0.18816        0.943403
1.86466        0.541315         1.19118
1.86466        0.506557         1.13824
1.86466         1.36366         1.47326
1.86093        0.274076        0.914889
1.86093         1.04247        0.799251
1.86093         1.78209        0.840515
1.86093        0.484989         0.62935
1.86093         0.21723        0.385444
1.86093        0.618702        0.103309
1.86093        0.127447        0.376268
1.86093        0.913627        0.157435
1.86093        0.353272        0.626028
1.86093          0.3722        0.348997
1.85721        0.513814       0.0726453
1.85721        0.408181       0.0225527
1.85721        0.456654        0.770694
1.85721        0.918132        0.777049
1.85721         1.58322        0.811159
1.85721        0.364433        0.374138
1.85721        0.898899        0.135455
1.85721        0.129115       0.0170884
1.85721        0.478506       0.0405009
1.85721        0.303907        0.369658
1.85349         1.13683        0.180775
1.85349        0.350352        0.337266
1.85349        0.537132       0.0222311
1.85349       0.0101156      0.00110284
1.85349        0.185084        0.486251
1.85349        0.180786       0.0371232
1.85349         1.01823        0.894092
1.85349        0.538906         1.32032
1.85349         1.37945         1.09015
1.85349         0.22537        0.499413
1.84978         1.02361        0.494944
1.84978        0.971123        0.244482
1.84978         1.06202         0.26627
1.84978        0.885684        0.797965
1.84978         1.14798        0.659389
1.84978         1.49907        0.258449
1.84978         1.91335        0.747266
1.84978         0.46856        0.981258
1.84978        0.838782        0.747362
1.84978        0.934095        0.388702
1.84608         1.49338        0.518725
1.84608         2.05957        0.549824
1.84608         1.62319        0.245556
1.84608         2.00363        0.849566
1.84608         2.20027        0.843722
1.84608         2.30771        0.150435
1.84608         1.84322        0.353099
